                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.79847,                0.68762,                 1.0486,                0.93807,                0.81817,                0.91015,                0.60634,                 1.0937,                 0.9207,                 1.2482,             0.00026422,             0.00026422,             0.00026422
                     88,                0.76027,                0.70522,                 1.0835,                0.94946,                0.80506,                0.90104,                0.59773,                 1.0986,                0.93997,                 1.2479,             0.00024772,             0.00024772,             0.00024772
                     89,                0.77819,                0.68365,                 1.0767,                0.94949,                0.80476,                 0.9004,                0.59651,                  1.098,                 0.9426,                 1.2436,             0.00023121,             0.00023121,             0.00023121
                     90,                0.74234,                0.68004,                   1.02,                0.90183,                0.83225,                0.90137,                0.59238,                 1.1007,                0.94285,                  1.245,             0.00021471,             0.00021471,             0.00021471
                     91,                0.73661,                0.72632,                 1.0273,                 0.9158,                0.81873,                0.90172,                0.59572,                 1.1042,                0.95902,                  1.245,             0.00019821,             0.00019821,             0.00019821
                     92,                0.77115,                0.74092,                 1.0728,                0.95039,                0.81115,                0.90127,                0.59097,                 1.1156,                  0.985,                  1.249,              0.0001817,              0.0001817,              0.0001817
                     93,                0.71033,                0.70285,                 1.0088,                0.94515,                0.80553,                0.89566,                0.58345,                 1.1301,                 1.0005,                 1.2577,              0.0001652,              0.0001652,              0.0001652
                     94,                0.72422,                0.69699,                 1.0155,                0.95341,                0.78902,                0.89204,                0.58609,                 1.1322,                 1.0159,                 1.2616,              0.0001487,              0.0001487,              0.0001487
                     95,                0.65511,                0.65533,                 1.0059,                0.88218,                0.85606,                0.89229,                0.58207,                 1.1319,                  1.006,                 1.2682,             0.00013219,             0.00013219,             0.00013219
                     96,                0.67872,                0.61526,                0.96973,                0.93989,                0.79004,                0.89655,                0.59047,                 1.1211,                0.96826,                 1.2736,             0.00011569,             0.00011569,             0.00011569
                     97,                0.64782,                0.61767,                0.97333,                0.94327,                0.80028,                0.90184,                0.59707,                 1.1168,                0.94719,                 1.2719,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.64798,                0.61024,                0.97318,                 0.9269,                0.81114,                0.90274,                 0.5968,                 1.1128,                0.92726,                 1.2717,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.66921,                0.64603,                0.99459,                0.87572,                0.87143,                0.90474,                0.60293,                 1.1079,                0.90946,                 1.2699,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.64417,                0.60192,                 0.9702,                0.88507,                0.85799,                0.90836,                0.60903,                 1.0865,                0.88182,                 1.2585,             4.9677e-05,             4.9677e-05,             4.9677e-05
